id,category,name,fosterSpecific,priority,referralTrigger,eligibility,provides,access,phone,location,caveat,sourceUrl,lastVerified,referralStatus,notes
1,First call / navigation,NC 211,No,Core,A young adult has multiple needs and FARM127 is unsure where to start.,Anyone in North Carolina.,"Free, confidential, multilingual navigation to food, housing, health, transportation, legal and other community resources.","Call 2-1-1, call 888-892-1162, or search the online database.",211 / 888-892-1162,Statewide; Charlotte/Mecklenburg resources included.,Directory information changes; confirm the referred provider's current intake requirements.,https://nc211.org/about/,2026-08-05,Not contacted,
2,First call / navigation,Mecklenburg County Community Resource Centers,No,Core,Help applying for county benefits or connecting to multiple county services.,Mecklenburg County residents; program-specific eligibility applies.,"In-person access to benefit applications, case navigation and partner services.",Visit a Community Resource Center or use Mecklenburg County's contact options.,704-336-3000,"Ella B. Scarborough CRC, 430 Stitt Rd; Valerie C. Woodard CRC, 3205 Freedom Dr.",Services and walk-in hours vary by site.,https://dcr.mecknc.gov/crc,2026-08-05,Not contacted,
3,First call / navigation,City of Charlotte Community Resources Directory,No,Backup,Finding additional local providers by need area.,Charlotte-area residents; eligibility varies by listed provider.,City-maintained directory of community organizations and services.,"Search the online directory, then verify eligibility directly with the provider.",,Charlotte / Mecklenburg County.,"A directory is a starting point, not a guarantee of availability.",https://www.charlottenc.gov/Streets-and-Neighborhoods/Get-Involved/Community-Engagement/Community-Resources-Directory,2026-08-05,Not contacted,
4,First call / navigation,Mecklenburg Coordinated Entry,No,Core,"A young adult is homeless, sleeping somewhere unsafe, or likely to lose housing soon.",Individuals and families who are homeless or at risk in Mecklenburg County.,"Community entry process for shelter, diversion, rapid rehousing and supportive housing resources.",Call and complete a telephone assessment; follow instructions for an in-person assessment when requested.,704-284-9665,Mecklenburg County.,Housing is not immediate or guaranteed; callbacks may take up to two business days and programs have limited capacity.,https://css.mecknc.gov/Housing-Stabilization/coordinated-entry,2026-08-05,Not contacted,
5,First call / navigation,988 Suicide & Crisis Lifeline,No,Core,"Suicidal thoughts, mental-health crisis, severe emotional distress or concern about another person.",Anyone in the United States.,"24/7 call, text and chat crisis support and connection to local crisis services.",Call or text 988. Call 911 for an immediate life-threatening emergency.,988,Nationwide; routes to local crisis support.,Not a replacement for emergency medical response when there is immediate danger.,https://www.ncdhhs.gov/divisions/mental-health-developmental-disabilities-and-substance-use-services/crisis-services/find-mobile-crisis-team,2026-08-05,Not contacted,
6,First call / navigation,Mecklenburg Mobile Crisis (Santé Group),No,Core,A behavioral-health crisis may be managed safely in the community rather than through law enforcement or an emergency department.,People in Mecklenburg County experiencing a mental-health or substance-use crisis.,"24/7 crisis assessment, de-escalation and connection to treatment.",Call the local mobile crisis line and select option 1.,"704-566-3410, option 1",Mecklenburg County.,"Response depends on safety, staffing and clinical assessment; call 911 for immediate danger.",https://thesantegroup.org/where-we-work/mecklenburg-county-nc/,2026-08-05,Not contacted,
7,First call / navigation,Alliance Health Access and Information Line,No,Core,"Finding publicly funded mental-health, substance-use or developmental-disability services.",Alliance Health service-area residents; funding and clinical eligibility vary.,"24/7 behavioral-health information, screening and provider connection.",Call the access and information line.,877-223-4617,Mecklenburg County and Alliance Health service area.,Provider openings and funding authorization vary.,https://www.alliancehealthplan.org/news/new-provider-chosen-for-mecklenburg-county-behavioral-health-crisis-services/,2026-08-05,Not contacted,
8,First call / navigation,911 Emergency Services,No,Core,"Immediate danger, violence, overdose, serious injury, fire or a life-threatening medical emergency.",Anyone in an emergency.,"Police, fire and emergency medical response.","Call 911 and give the location, nature of the emergency and immediate safety concerns.",911,Charlotte / Mecklenburg County.,Use crisis or non-emergency resources when there is no immediate threat to life or safety.,https://cit.mecknc.gov/emergency-contacts,2026-08-05,Not contacted,
9,Foster care-specific,Mecklenburg County LINKS,Yes,Core,"A current or former foster youth needs independent-living planning, funding or case coordination.",Generally youth ages 13–21 who are or were in foster care; specific services depend on custody/status.,"Independent-living assessment, planning, education, housing and other transition assistance.",Contact Mecklenburg Youth and Family Services / LINKS.,704-336-KIDS (5437),Mecklenburg County.,Age and custody rules are strict; refer before age 21 whenever possible.,https://cfas.mecknc.gov/services/adoption-and-foster-care/LINKS,2026-08-05,Not contacted,
10,Foster care-specific,Mecklenburg Phoenix Project,Yes,Core,A former foster youth under 21 who is no longer in county custody needs transition support.,Young adults generally under age 21 who left foster care; confirm individual eligibility.,"Post-custody independent-living support, case coordination and access to eligible funds/services.",Call the Phoenix Project office and request an eligibility review.,704-336-3290,Mecklenburg County.,Do not wait until close to the 21st birthday; funding and services are eligibility-dependent.,https://cfas.mecknc.gov/services/adoption-and-foster-care/LINKS,2026-08-05,Not contacted,
11,Foster care-specific,NC Foster Care 18 to 21 / Voluntary Placement Agreement,Yes,Core,"A youth is approaching age 18 in foster care and needs continued placement, case management or financial support.",Youth who meet North Carolina's criteria and enter a voluntary agreement; generally available until age 21.,"Continued foster-care placement, case management, resources and financial assistance while pursuing an approved path.",Ask the county social worker before discharge from care; review the state eligibility rules.,,North Carolina; administered through county child welfare.,Timing matters. Leaving care without completing the agreement can make access harder.,https://www.ncdhhs.gov/assistance/guardianship/independent-living-services-transitional-age-youth,2026-08-05,Not contacted,
12,Foster care-specific,Mecklenburg GEAR Up Supplemental Income Pilot,Yes,Verify,"An eligible young adult aging out needs flexible monthly cash support for rent, food, transportation or other stability needs.",Pilot announced for certain Mecklenburg young adults ages 18–21 aging out of foster care.,Monthly supplemental income plus support coordination.,Call Mecklenburg LINKS at 704-336-KIDS and ask whether the pilot is still enrolling or accepting referrals.,704-336-KIDS (5437),Mecklenburg County.,"Pilot status, enrollment slots and funding beyond the announced cohort were not confirmed for August 2026.",https://news.mecknc.gov/gear-supplemental-income-pilot-program-young-adults-aging-out-foster-care,2026-08-05,Not contacted,
13,Foster care-specific,NC Medicaid for Former Foster Care Youth,Yes,Core,A young adult who aged out of foster care needs health coverage.,Certain young adults under age 26 who were in foster care and enrolled in Medicaid when they aged out; rules depend on foster-care state and history.,Medicaid medical and behavioral-health coverage.,Apply through ePASS or Mecklenburg County and explicitly identify former foster-care status.,704-336-3000,North Carolina.,Eligibility details changed under federal/state policy; obtain a formal Medicaid determination rather than assuming eligibility.,https://www.ncdhhs.gov/assistance/guardianship/independent-living-services-transitional-age-youth,2026-08-05,Not contacted,
